          x(meter)            y(meter)                 u(m/s)              v(m/s)
        345775.84375        4372313.00000              0.13601             -0.00582
        344392.21875        4372197.00000              0.10597              0.00013
        343947.59375        4373644.50000              0.08599              0.00449
        342736.50000        4374236.50000              0.05151             -0.06607
        342473.46875        4376126.00000              0.00561             -0.06698
        340811.71875        4376548.00000              0.01088             -0.01529
        340181.78125        4378245.00000             -0.00204             -0.01240
        337788.96875        4378664.50000              0.01009             -0.00543
        337360.93750        4380787.00000              0.00594             -0.01324
        335305.28125        4382439.50000              0.00584             -0.00075
        332600.53125        4381888.00000              0.00490             -0.00596
        329957.03125        4384768.00000             -0.00455             -0.00862
        331708.90625        4387795.50000             -0.00364             -0.01188
        330804.43750        4391115.50000             -0.00359             -0.00878
        326632.56250        4392095.00000             -0.00223             -0.00698
        326394.68750        4396186.50000             -0.00974             -0.00877
        322093.15625        4397634.50000             -0.00682             -0.00664
        317799.46875        4395148.00000             -0.00535             -0.00537
        313509.31250        4397560.00000             -0.00611             -0.00547
        309442.90625        4395160.00000             -0.00108             -0.00534
        305290.84375        4396810.00000             -0.00147             -0.00621
        301461.40625        4393265.50000              0.00314             -0.00527
        297344.37500        4394031.50000             -0.00173             -0.00524
        293956.59375        4390527.50000              0.00349             -0.00695
        290004.40625        4390745.50000              0.00141             -0.00798
        289178.37500        4394719.00000             -0.00059             -0.00554
        285131.25000        4395170.50000             -0.00074             -0.00413
        282049.84375        4391275.50000             -0.00138             -0.00058
        277997.25000        4391965.00000             -0.00377             -0.00557
        274765.46875        4388113.50000             -0.00095             -0.00439
        275780.09375        4384190.00000             -0.00285             -0.00695
        270525.37500        4388761.50000             -0.00104             -0.00356
        267334.65625        4384738.50000              0.00067             -0.00124
        263272.56250        4385312.50000              0.00158             -0.00405
        259844.25000        4381137.00000              0.00114             -0.00257
        255909.12500        4382242.00000              0.00579             -0.00194
        251916.90625        4379748.00000             -0.00044             -0.00138
        248468.89063        4383302.00000              0.00325             -0.00141
        244265.79688        4382410.00000              0.00065             -0.00217
        242508.51563        4377409.50000              0.00120             -0.00059
        238080.70313        4376745.00000              0.00547             -0.00166
        234971.71875        4373205.00000             -0.00222             -0.00281
        235404.31250        4369483.00000             -0.00073             -0.00413
        230429.62500        4366748.50000             -0.00142             -0.00559
        230279.92188        4362908.00000             -0.00333             -0.00482
        225456.78125        4360361.00000             -0.00328             -0.00523
        225397.65625        4356357.00000             -0.00027             -0.00335
        220837.01563        4353602.50000             -0.00067             -0.00317
        221183.93750        4349470.00000              0.00137             -0.00264
        217059.96875        4346523.00000             -0.00031              0.00004
        217913.12500        4342248.50000             -0.00066              0.00024
        214208.07813        4338993.00000              0.00103              0.00057
        215407.25000        4334568.00000             -0.00102              0.00142
        211980.10938        4331130.50000              0.00135              0.00235
        213267.48438        4326712.50000              0.00055              0.00325
        209926.43750        4323215.50000              0.00130              0.00451
        211239.40625        4318813.50000              0.00009              0.00552
        207906.79688        4315298.50000              0.00265              0.00435
        209222.64063        4310924.50000              0.00108              0.00542
        205884.26563        4307400.00000              0.00253              0.00497
        207200.00000        4303049.50000              0.00117              0.00531
        203857.25000        4299510.00000              0.00271              0.00415
        199177.14063        4300170.50000              0.00113              0.00560
        195789.62500        4296454.00000              0.00320              0.00381
        197124.71875        4292246.50000              0.00168              0.00529
        193735.70313        4288547.00000              0.00394              0.00261
        195091.17188        4284398.50000              0.00251              0.00319
        191717.48438        4280689.50000              0.00374              0.00145
        193068.31250        4276589.00000              0.00287              0.00266
        189686.48438        4272936.50000              0.00320              0.00245
        191049.60938        4268975.50000              0.00316              0.00408
        188010.73438        4265596.00000              0.00618              0.00045
        189200.26563        4261723.50000              0.00490              0.00263
        185597.98438        4258668.50000              0.00620              0.00300
        186243.06250        4254796.00000              0.00622             -0.00160
        183014.39063        4251629.00000              0.00570             -0.00086
        184179.17188        4247520.50000              0.00595              0.00108
        188211.51563        4246764.50000              0.00791             -0.00176
        188910.70313        4242593.00000              0.00375             -0.00186
        192609.29688        4241580.00000              0.00470             -0.00174
        193216.79688        4237289.50000              0.00501              0.00020
        197033.31250        4236067.00000              0.00597              0.00014
        197913.46875        4231598.50000              0.00511              0.00041
        201702.62500        4230181.50000              0.00430             -0.00299
        202407.51563        4225552.50000              0.00281             -0.00384
        199064.37500        4222729.00000              0.00162             -0.00432
        199211.31250        4218263.50000              0.00362             -0.00398
        202888.40625        4216052.50000              0.00285             -0.00326
        202715.87500        4211283.00000              0.00404             -0.00228
        198884.73438        4209438.00000             -0.00179              0.00119
        198057.60938        4205000.50000              0.00166             -0.00239
        201164.67188        4201966.50000             -0.00035              0.00069
        200153.39063        4197433.50000              0.00213             -0.00315
        203442.29688        4194498.50000              0.00151              0.00067
        202728.15625        4189704.50000              0.00434             -0.00167
        206790.50000        4187360.00000             -0.00018             -0.00384
        207698.28125        4182905.50000              0.00282             -0.00018
        212997.85938        4181609.25000              0.00063             -0.00593
        214518.09375        4177665.00000              0.00226             -0.00146
        218481.65625        4176543.50000             -0.00501             -0.00436
        221587.46875        4177869.25000             -0.00364             -0.00488
        224127.54688        4174912.50000              0.00133             -0.00513
        227037.65625        4174658.50000              0.00037             -0.00391
        228285.84375        4171596.25000              0.00305             -0.00444
        230844.00000        4171063.25000              0.00037             -0.00336
        231396.40625        4168197.75000              0.00305             -0.00309
        233410.17188        4167480.00000              0.00247             -0.00204
        235410.89063        4168428.50000              0.00174             -0.00138
        236108.71875        4170350.00000              0.00239             -0.00044
        238621.40625        4170215.75000              0.00009             -0.00213
        239653.89063        4171834.00000              0.00280             -0.00349
        241909.67188        4171641.50000              0.00295             -0.00629
        242730.92188        4173504.75000              0.00945             -0.00714
        244779.84375        4173732.75000              0.01059             -0.00894
        245957.79688        4172023.50000              0.01626              0.00003
        247619.01563        4172034.00000              0.01143              0.00090
        248732.15625        4173172.75000              0.02098             -0.00851
        250245.95313        4172253.00000              0.02431             -0.00531
        251574.09375        4172576.25000              0.01930             -0.04140
        252791.03125        4171335.50000              0.04367             -0.00406
        254068.50000        4171365.75000              0.03748              0.02689
        254507.46875        4172410.00000              0.04884              0.03396
        253987.15625        4173596.25000              0.03100              0.06738
        254837.87500        4174306.50000             -0.01744              0.09750
        254638.57813        4175307.25000             -0.11516              0.15579
        259675.92188        4177156.25000             -0.07550             -0.00280
        260865.64063        4177740.75000             -0.02609             -0.02574
        261673.75000        4177105.75000             -0.04535             -0.00168
        262944.71875        4177741.00000             -0.01545             -0.01291
        263761.93750        4177231.00000             -0.02563             -0.00095
        265099.90625        4177280.75000             -0.02281             -0.00085
        265796.06250        4178087.00000              0.00971             -0.03020
        267050.65625        4177763.75000              0.01151              0.00528
        267745.21875        4178878.00000              0.00755             -0.00739
        268832.12500        4178636.00000              0.02389              0.01210
        269680.21875        4179750.50000              0.02106             -0.00534
        270677.56250        4179513.25000              0.04361              0.02548
        271669.62500        4180307.75000              0.03714              0.04097
        343878.46875        4313564.00000             -0.00735              0.01738
        344281.96875        4313116.50000             -0.00887              0.00441
        344940.68750        4313124.00000             -0.00785             -0.00289
        345183.56250        4313742.50000              0.01865             -0.04165
        345818.43750        4313864.50000              0.01458              0.02344
        346013.81250        4314568.00000              0.01923              0.00365
        346631.15625        4314530.00000              0.03974              0.01200
        346974.90625        4315013.50000              0.00925              0.03910
        346826.40625        4315672.50000             -0.06853              0.03455
        347448.18750        4316073.50000             -0.08549              0.01288
        348043.84375        4315638.00000             -0.04373             -0.00669
        348725.37500        4315652.00000             -0.02304             -0.01386
        348961.09375        4316376.00000             -0.03419             -0.05127
        349737.28125        4316442.00000             -0.00941             -0.00855
        350148.81250        4317145.50000             -0.07296              0.01931
        349727.96875        4317892.50000             -0.00801             -0.02808
        350381.46875        4318514.50000              0.02889             -0.02056
        351423.90625        4318192.50000              0.03227              0.01278
        352213.46875        4318681.00000              0.07434             -0.02023
        351994.50000        4319532.50000              0.05420             -0.01616
        352590.50000        4320146.50000              0.04327              0.01155
        352093.78125        4321169.00000             -0.00110             -0.04533
        352581.84375        4321857.50000             -0.03165              0.00404
        352538.43750        4322800.50000             -0.05822             -0.00050
        353523.59375        4323221.50000             -0.03037             -0.01408
        353656.68750        4324156.50000             -0.01874             -0.01838
        354483.53125        4324653.00000             -0.01980             -0.00286
        354644.90625        4325769.00000             -0.05239             -0.00989
        355737.78125        4326073.50000             -0.03974              0.00842
        356302.09375        4327120.50000             -0.04089              0.00729
        357396.46875        4327286.00000             -0.04609              0.02476
        358270.43750        4328150.50000             -0.02785              0.03818
        358407.06250        4329193.50000              0.02658              0.03952
        357290.90625        4329594.00000              0.00204              0.01103
        357037.50000        4330754.00000              0.00624              0.00353
        357846.71875        4331592.50000              0.01185              0.00003
        357107.59375        4332790.50000              0.00480             -0.00585
        358136.12500        4333606.50000              0.00731             -0.00559
        357660.59375        4334928.50000              0.00843             -0.00850
        358801.53125        4335669.00000              0.01131             -0.01004
        358482.09375        4337114.00000              0.00979             -0.01288
        359766.50000        4337661.50000              0.01124             -0.01015
        360186.06250        4338928.50000              0.00404             -0.01162
        359011.93750        4339892.00000              0.00808             -0.00598
        359375.46875        4341383.50000              0.00870             -0.00836
        357852.25000        4342451.50000              0.00845             -0.00470
        357832.90625        4343932.00000              0.01276             -0.00499
        359061.90625        4344692.00000              0.00978             -0.00270
        358707.75000        4346256.00000              0.01228             -0.00199
        360134.75000        4346922.00000              0.00971              0.00075
        360114.59375        4348263.50000              0.00981              0.00259
        358845.87500        4349392.50000              0.01438              0.00703
        357447.09375        4349311.50000              0.01892              0.00766
        356422.28125        4350662.00000              0.03031              0.02135
        356826.46875        4352062.50000              0.02805              0.02617
        355770.34375        4353280.50000              0.03522              0.04363
        354228.75000        4352891.00000              0.04645              0.04638
        353122.93750        4353940.50000              0.05462              0.06724
        353602.90625        4355413.00000              0.05034              0.07443
        352538.75000        4356363.50000              0.04777              0.09952
        352983.90625        4357728.50000              0.03585              0.10048
        351986.71875        4358566.00000              0.01992              0.13939
        352325.31250        4359836.00000             -0.02055              0.10576
        351395.90625        4360473.00000             -0.18853              0.08731
        350188.21875        4360109.50000             -0.13295              0.07355
        349374.31250        4360914.50000             -0.24340              0.09469
        348297.96875        4361102.50000             -0.15459             -0.00553
        347982.09375        4362127.00000             -0.41373              0.00646
        347277.43750        4362859.50000             -0.45001              0.02842
        347606.40625        4363964.50000             -0.30213             -0.10630
        347410.96875        4364883.50000             -0.11543             -0.01927
        348196.96875        4365487.50000             -0.06418             -0.15995
        348043.65625        4366325.50000             -0.04318             -0.16127
        348709.65625        4366917.50000             -0.05597             -0.20314
        348911.90625        4367967.00000              0.00297             -0.13458
        348672.53125        4368767.50000              0.04183             -0.07630
        349596.68750        4369722.00000              0.03693             -0.07901
        349941.71875        4370667.00000              0.09294             -0.02130
        349407.87500        4371321.00000              0.14352              0.01623
        348335.34375        4371047.00000              0.15756              0.03382
        347811.96875        4371949.50000              0.16478              0.03940
        348319.43750        4373008.50000              0.15727              0.03720
        347467.78125        4373897.00000              0.12818              0.04702
        346217.40625        4373621.00000              0.12202             -0.00378
        345118.59375        4374473.00000              0.08117             -0.03413
        345049.62500        4375733.50000              0.03451              0.00486
        343615.62500        4376794.50000             -0.01350             -0.06070
        343891.46875        4378159.50000             -0.05980             -0.01108
        343261.46875        4379529.50000             -0.08080             -0.01370
        341575.62500        4379779.00000             -0.02357              0.00861
        341286.81250        4381642.50000             -0.00359              0.02736
        339464.93750        4382230.50000              0.00282              0.01999
        339146.31250        4384432.50000             -0.01181              0.01853
        336517.25000        4384915.00000              0.00455             -0.00387
        335564.37500        4387391.00000             -0.00955             -0.00608
        338000.00000        4389223.00000             -0.01890              0.01463
        337718.34375        4392115.00000             -0.01456              0.02315
        334378.28125        4393602.50000             -0.00655              0.00059
        334629.87500        4397402.00000             -0.02008              0.00492
        330818.15625        4399006.50000             -0.01003             -0.00066
        330764.09375        4403000.00000             -0.00739              0.00170
        326297.84375        4404615.50000             -0.00428             -0.00447
        322050.37500        4402070.00000             -0.00519             -0.00659
        318319.12500        4404092.00000             -0.00033             -0.00255
        314071.75000        4402068.50000             -0.00526             -0.00691
        311507.90625        4405794.50000             -0.00093             -0.00203
        307564.00000        4405742.50000             -0.00509             -0.00203
        304531.75000        4401458.00000             -0.00209             -0.00564
        300039.96875        4402156.50000             -0.00068             -0.00617
        296682.06250        4398275.00000             -0.00163             -0.00520
        292468.28125        4398745.00000             -0.00381             -0.00804
        291564.37500        4403095.50000             -0.00243             -0.00741
        287354.93750        4403645.00000             -0.00401             -0.00641
        284211.68750        4399746.00000             -0.00426             -0.00448
        280041.84375        4400390.00000             -0.00468             -0.00475
        276908.78125        4396504.50000             -0.00335             -0.00403
        272709.25000        4397178.50000             -0.00331             -0.00380
        269557.59375        4393287.00000             -0.00310             -0.00359
        265332.56250        4393962.50000             -0.00175             -0.00283
        262238.28125        4390010.50000             -0.00369             -0.00234
        258019.20313        4390714.00000             -0.00261              0.00009
        255118.37500        4387121.00000             -0.00082             -0.00288
        250635.00000        4387623.00000             -0.00299             -0.00510
        249216.04688        4391804.00000              0.00002             -0.00286
        245152.42188        4392631.00000              0.00560             -0.00137
        241463.65625        4390042.50000             -0.00017             -0.00130
        240881.50000        4385778.00000             -0.00069             -0.00276
        236179.90625        4384304.00000             -0.00315             -0.00324
        235136.39063        4380272.00000             -0.00134             -0.00455
        230654.67188        4378884.50000             -0.00160             -0.00755
        230258.76563        4374706.00000              0.00243             -0.00524
        226141.70313        4372777.00000              0.00012             -0.00553
        225879.95313        4368541.50000              0.00009             -0.00331
        221347.64063        4366456.50000             -0.00246             -0.00509
        221074.18750        4362116.50000             -0.00123             -0.00296
        216622.54688        4359804.50000             -0.00196             -0.00551
        216444.51563        4355294.50000             -0.00306             -0.00287
        211917.34375        4352616.00000             -0.00363             -0.00420
        212185.89063        4347977.00000             -0.00087             -0.00033
        208319.09375        4344629.50000             -0.00001             -0.00048
        209488.12500        4339920.50000             -0.00189              0.00020
        206009.56250        4336319.50000             -0.00003              0.00263
        207302.35938        4331955.00000             -0.00258              0.00173
        203933.90625        4328301.50000             -0.00028              0.00229
        205270.62500        4323980.50000             -0.00139              0.00401
        201889.93750        4320295.50000              0.00079              0.00403
        203213.15625        4316016.00000              0.00052              0.00575
        199831.75000        4312344.50000              0.00279              0.00540
        201187.00000        4308103.00000              0.00108              0.00558
        197822.62500        4304413.50000              0.00362              0.00374
        193133.76563        4304813.50000              0.00082              0.00626
        189840.26563        4300990.50000              0.00473              0.00526
        191141.60938        4296874.00000              0.00265              0.00485
        187655.56250        4293021.00000              0.00572              0.00332
        188914.54688        4288901.50000              0.00401              0.00108
        185605.39063        4284984.00000              0.00237              0.00195
        187052.85938        4280921.00000              0.00246              0.00310
        183710.23438        4277002.50000              0.00488              0.00243
        184993.04688        4273119.00000              0.00302              0.00120
        181627.32813        4268996.00000              0.00333              0.00179
        183281.90625        4265434.00000              0.00411              0.00203
        181730.35938        4260965.00000              0.00653             -0.00447
        178471.07813        4259209.00000              0.00755             -0.00615
        177313.89063        4254641.50000              0.00431             -0.00140
        178873.81250        4251658.00000              0.00306             -0.00145
        176181.32813        4247740.00000              0.00625             -0.00197
        177606.01563        4244780.00000              0.00591             -0.00011
        181463.28125        4244589.50000              0.00680             -0.00226
        182209.59375        4240600.00000              0.00653              0.00080
        185624.68750        4239359.50000              0.00408             -0.00206
        186382.85938        4235035.50000              0.00399             -0.00199
        190276.39063        4233979.00000              0.00490             -0.00089
        191289.00000        4229972.50000              0.00410              0.00095
        195109.57813        4228815.00000              0.00550              0.00094
        195555.60938        4224575.00000              0.00642              0.00026
        191509.92188        4222867.50000              0.00474              0.00334
        191224.67188        4219125.00000              0.00250             -0.00395
        195417.28125        4216366.50000              0.00100              0.00242
        195263.23438        4212310.50000              0.00228             -0.00069
        191380.03125        4211029.50000              0.00265             -0.00175
        190902.70313        4207424.50000              0.00260              0.00134
        193958.78125        4204268.50000             -0.00159             -0.00367
        192350.07813        4201110.50000              0.00367              0.00019
        193291.23438        4197642.50000             -0.00174              0.00003
        196349.31250        4195684.50000              0.00334             -0.00235
        195500.17188        4191493.00000              0.00162              0.00293
        198590.10938        4188448.50000             -0.00153             -0.00152
        197184.50000        4184871.50000              0.00128              0.00651
        199346.09375        4181623.75000              0.00138              0.00098
        204118.09375        4180347.50000              0.00177             -0.00246
        204928.64063        4176650.25000             -0.00015              0.00261
        208322.68750        4174300.00000             -0.00182             -0.00549
        212151.20313        4174420.75000             -0.00478             -0.00421
        214561.25000        4171111.00000              0.00478             -0.00247
        217940.78125        4170739.50000              0.00150             -0.00270
        219494.28125        4172927.75000              0.00191             -0.00022
        222694.89063        4172251.25000             -0.00006             -0.00270
        223959.64063        4169637.00000              0.00055             -0.00245
        226640.46875        4169236.00000             -0.00148             -0.00323
        227425.81250        4166682.00000              0.00164             -0.00228
        229623.57813        4166177.00000             -0.00030             -0.00235
        229975.76563        4163741.00000              0.00200             -0.00180
        231616.62500        4163096.00000              0.00093             -0.00203
        233344.34375        4163889.50000              0.00041             -0.00204
        234085.28125        4165311.00000              0.00140             -0.00126
        236490.92188        4165029.25000             -0.00029             -0.00173
        237267.64063        4166550.75000              0.00249             -0.00079
        239413.43750        4166547.75000              0.00125             -0.00038
        240069.35938        4168291.00000              0.00479              0.00007
        242290.59375        4168316.00000              0.00313             -0.00127
        243098.42188        4170048.25000              0.00884             -0.00097
        245097.62500        4170202.25000              0.00910             -0.00195
        246292.14063        4168797.00000              0.00960              0.00100
        248078.57813        4169113.00000              0.00703             -0.00075
        248545.28125        4170529.00000              0.01532              0.00215
        250080.42188        4170788.25000              0.00584             -0.00846
        251197.07813        4169713.50000              0.01654              0.00086
        252579.56250        4169937.50000              0.02562             -0.00588
        253683.79688        4168752.25000              0.01484             -0.00109
        254913.70313        4168933.50000              0.01279              0.01235
        255086.93750        4170149.00000              0.01416              0.00864
        256290.73438        4170331.75000              0.01277              0.02218
        256542.00000        4171364.50000              0.01483              0.00040
        255777.17188        4172226.00000              0.03114              0.04111
        256397.31250        4173087.50000              0.03749              0.01224
        255978.32813        4173981.50000             -0.09761              0.06444
        347907.46875        4315079.50000              0.00000              0.00000
        351053.84375        4316948.50000             -0.05547             -0.00205
        351675.40625        4317373.50000             -0.03232              0.01353
        352422.21875        4316881.50000             -0.06371              0.02130
        353088.56250        4317229.00000             -0.03061             -0.01835
        353131.31250        4318208.50000              0.05557             -0.00284
        353977.09375        4318506.50000              0.06539             -0.01842
        354169.03125        4319301.00000              0.06422              0.00644
        353513.25000        4320028.50000              0.03000             -0.01481
        353816.18750        4320821.00000             -0.02978              0.09347
        353381.53125        4321627.50000             -0.04295              0.10422
        353917.00000        4322501.00000              0.00837              0.06284
        354618.93750        4322318.50000              0.00366              0.00093
        355285.21875        4322770.00000              0.00101              0.00146
        355601.28125        4323539.00000              0.00124              0.00653
        355368.40625        4324304.50000             -0.00254              0.02225
        356138.06250        4325184.50000             -0.02951              0.02902
        356977.43750        4324950.00000             -0.01825             -0.00358
        357764.84375        4325585.50000             -0.01210             -0.02461
        357933.25000        4326536.50000             -0.10160              0.00980
        358982.09375        4326881.00000             -0.12006              0.02855
        359276.65625        4327763.00000             -0.04379              0.03315
        360357.12500        4327998.00000             -0.00095              0.00231
        360817.40625        4328940.00000              0.00042             -0.03233
        359873.53125        4329748.00000              0.04623              0.00249
        360472.96875        4330884.50000              0.04199             -0.00769
        359530.87500        4331702.00000              0.01278             -0.01089
        359725.93750        4332966.00000              0.00786             -0.01441
        360906.18750        4333593.50000              0.00897             -0.01448
        360457.31250        4334974.50000              0.00543             -0.01475
        361501.12500        4335653.00000              0.00827             -0.01596
        361129.75000        4336895.00000              0.00932             -0.01417
        362301.96875        4337542.00000              0.00990             -0.01165
        361884.46875        4338805.00000              0.00600             -0.01154
        362914.46875        4339691.00000              0.00569             -0.01092
        362488.06250        4340991.50000              0.00494             -0.01008
        360944.00000        4341775.50000              0.00925             -0.01010
        361224.96875        4343061.00000              0.00553             -0.00733
        360604.50000        4344209.00000              0.00588             -0.00879
        361920.93750        4344988.50000              0.00617             -0.00578
        361805.34375        4346137.50000              0.00374             -0.00602
        363336.03125        4346639.50000              0.00224             -0.00261
        363233.68750        4347847.00000              0.00088             -0.00069
        361682.81250        4348686.50000              0.00603              0.00126
        361729.59375        4349867.50000              0.00932              0.00328
        360634.75000        4351001.00000              0.01064              0.00284
        359319.25000        4350948.50000              0.01211              0.01463
        358324.65625        4352268.00000              0.02219              0.02366
        358761.46875        4353688.50000              0.00994              0.02968
        357763.87500        4354958.50000              0.00910              0.04128
        356270.93750        4354755.50000              0.01677              0.04983
        355209.31250        4355838.50000              0.02157              0.07792
        355466.40625        4357205.50000              0.02060              0.07935
        354305.12500        4358144.50000              0.01157              0.10267
        354431.90625        4359523.50000             -0.03571              0.11541
        353449.28125        4360378.00000             -0.06303              0.15434
        353716.84375        4361520.50000             -0.11884              0.11800
        353196.46875        4362416.00000             -0.08869              0.16536
        352224.37500        4362300.00000             -0.21352             -0.18803
        351437.25000        4361415.00000             -0.27990             -0.06636
        350575.96875        4361920.00000             -0.30550              0.11284
        349720.75000        4361783.00000             -0.31322              0.18642
        349153.03125        4362466.00000             -0.40847              0.15086
        348490.71875        4362621.50000             -0.44280             -0.01614
        348630.96875        4363382.00000             -0.00752             -0.03206
        348451.31250        4363992.00000             -0.26252             -0.16314
        349111.56250        4364432.50000             -0.34266             -0.14954
        349052.65625        4365009.00000              0.01133             -0.31949
        349682.68750        4365163.50000             -0.04220             -0.16207
        349751.03125        4365914.50000              0.00437             -0.17097
        349481.65625        4366679.50000             -0.12865             -0.24546
        350237.25000        4367215.00000             -0.18589             -0.12951
        350480.87500        4367944.00000              0.03214             -0.17362
        349927.50000        4368457.00000             -0.06906             -0.18916
        350337.65625        4369330.00000             -0.05981             -0.15981
        351153.75000        4369619.00000             -0.13647             -0.11821
        351594.21875        4370443.50000             -0.02069             -0.03763
        351123.15625        4371099.50000              0.05294             -0.03149
        351637.40625        4372005.00000              0.11977              0.01044
        351120.28125        4372772.50000              0.11986              0.01027
        350072.15625        4372521.00000              0.14429              0.03433
        349507.09375        4373307.00000              0.12625              0.06153
        350069.87500        4374417.50000              0.08401              0.07986
        349367.00000        4375115.50000             -0.00049              0.09712
        347952.56250        4374893.00000              0.08241              0.05486
        347293.84375        4375689.50000              0.02937              0.09281
        346072.34375        4376132.50000              0.03340             -0.05557
        345998.09375        4377223.00000             -0.10242              0.10053
        345251.25000        4378189.00000             -0.08943             -0.01094
        345772.71875        4379167.50000             -0.14854              0.15155
        345564.28125        4380349.50000             -0.21236              0.10484
        344412.81250        4380741.00000             -0.10211              0.06414
        344414.34375        4382256.00000             -0.03164              0.10402
        342974.18750        4382908.00000             -0.01623              0.06765
        343011.37500        4384798.00000             -0.02132              0.07358
        341005.34375        4385735.00000             -0.01609              0.03663
        340811.90625        4388049.50000             -0.01566              0.03933
        343036.68750        4389066.00000             -0.02041              0.05550
        343149.93750        4391519.50000             -0.02744              0.06570
        340643.50000        4393395.00000             -0.01698              0.02988
        340893.71875        4396202.00000             -0.02341              0.03506
        338220.15625        4398721.50000             -0.01900              0.03036
        340187.28125        4401547.00000             -0.01963              0.02343
        339432.81250        4404774.50000              0.00437              0.03343
        335051.78125        4405821.00000             -0.00673              0.00856
        334753.28125        4409907.00000             -0.00286              0.01149
        330345.25000        4411458.50000             -0.01145             -0.00290
        326177.50000        4408988.50000             -0.00924             -0.00505
        321867.03125        4411536.50000             -0.00949             -0.00178
        318256.12500        4409185.00000             -0.00572             -0.00175
        314277.93750        4410511.00000             -0.00875             -0.00692
        313016.96875        4415042.50000             -0.00275             -0.00447
        308697.28125        4415267.00000             -0.00313             -0.00121
        306014.34375        4410684.00000             -0.00324             -0.00016
        301906.06250        4410867.50000             -0.00522             -0.00475
        298963.96875        4406625.00000             -0.00265             -0.00717
        294702.15625        4407093.50000             -0.00395             -0.00848
        293442.87500        4411476.50000             -0.00118             -0.00775
        289109.96875        4411914.00000             -0.00272             -0.00730
        286159.81250        4408080.50000             -0.00245             -0.00715
        281779.62500        4408655.00000             -0.00369             -0.00596
        278804.87500        4404863.50000             -0.00546             -0.00434
        274427.06250        4405477.50000             -0.00485             -0.00287
        271464.46875        4401678.50000             -0.00392             -0.00302
        267082.09375        4402285.50000             -0.00202             -0.00114
        264101.84375        4398461.00000             -0.00241             -0.00188
        259713.26563        4399083.50000              0.00036             -0.00008
        256724.92188        4395288.50000             -0.00151             -0.00017
        252405.14063        4395876.50000             -0.00001             -0.00236
        250773.92188        4400217.00000             -0.00481             -0.00207
        246203.37500        4400596.50000             -0.00440              0.00004
        243770.96875        4397082.50000             -0.00251             -0.00238
        239280.25000        4397163.50000             -0.00294             -0.00511
        237768.57813        4393084.00000              0.00267             -0.00296
        233784.98438        4391922.00000              0.00132             -0.00312
        232778.46875        4387407.00000              0.00091             -0.00058
        228545.26563        4386081.50000             -0.00039             -0.00303
        227464.98438        4381591.00000              0.00477             -0.00156
        223326.09375        4380121.00000              0.00275             -0.00388
        222398.71875        4375485.50000              0.00330             -0.00052
        218281.28125        4373990.00000              0.00139             -0.00156
        217491.95313        4369196.50000              0.00427              0.00208
        213509.70313        4367414.00000              0.00156             -0.00053
        212913.75000        4362362.00000              0.00358              0.00163
        209013.35938        4360539.00000              0.00300              0.00010
        208194.98438        4355303.00000             -0.00123              0.00251
        204232.79688        4353923.50000              0.00583              0.00180
        202233.82813        4349461.50000             -0.00316              0.00455
        203705.00000        4345294.00000             -0.00329              0.00037
        200076.46875        4341202.00000             -0.00039              0.00252
        201212.00000        4336936.50000             -0.00296              0.00147
        197887.67188        4333084.00000             -0.00001              0.00314
        199316.78125        4328814.00000             -0.00291              0.00351
        196052.31250        4325048.00000             -0.00081              0.00589
        197288.76563        4320851.00000             -0.00144              0.00521
        193798.18750        4317070.00000              0.00217              0.00419
        195017.95313        4312843.50000              0.00149              0.00332
        191684.34375        4309001.50000              0.00227              0.00530
        187042.79688        4309085.50000             -0.00005              0.00452
        184048.60938        4305287.50000              0.00167              0.00232
        185396.65625        4301380.50000              0.00286              0.00395
        182391.73438        4298140.00000              0.00529              0.00283
        183349.29688        4293897.00000              0.00691              0.00073
        180163.56250        4291502.50000              0.00712              0.00218
        179264.71875        4287860.00000              0.00158              0.00434
        181078.35938        4284838.00000              0.00162              0.00368
        178110.01563        4281080.50000              0.00283              0.00220
        179294.42188        4277308.00000              0.00577              0.00146
        176140.60938        4274020.50000              0.00541              0.00129
        177190.70313        4269592.00000              0.00506             -0.00235
        174089.53125        4266962.00000              0.00682             -0.00576
        173434.37500        4263249.00000              0.00825             -0.00111
