          x(meter)            y(meter)                 u(m/s)              v(m/s)
        522324.93750        4286096.00000              0.00110              0.00012
        517982.37500        4283881.00000              0.00363              0.00553
        518938.25000        4278552.00000             -0.00572              0.00263
        514578.40625        4276048.00000              0.00251              0.00354
        515608.84375        4270831.00000             -0.00410              0.00117
        511152.84375        4268126.00000              0.01253             -0.00172
        512297.75000        4263078.50000              0.00403             -0.00118
        507791.90625        4260185.50000              0.00632              0.00296
        509076.09375        4255332.50000             -0.00902             -0.00184
        504600.68750        4252286.50000             -0.00313              0.00358
        506130.28125        4247624.50000             -0.01420             -0.00758
        502281.68750        4244590.50000             -0.00824             -0.00145
        503869.75000        4240129.00000             -0.00774             -0.01333
        499643.15625        4237105.00000              0.01421             -0.00900
        501103.93750        4232835.50000              0.01541             -0.02237
        499094.40625        4229163.50000              0.02381             -0.00397
        494999.65625        4228105.00000              0.02008              0.01359
        495705.09375        4222575.00000             -0.00790              0.00292
        492094.46875        4220086.50000              0.01842              0.00046
        493125.96875        4214925.00000              0.01070             -0.00659
        488978.46875        4212100.50000              0.01393              0.00704
        490029.68750        4207270.00000             -0.00029             -0.00223
        485817.21875        4204290.00000              0.00908              0.00807
        487011.31250        4199758.50000             -0.00335             -0.00388
        483130.00000        4196862.00000              0.02300              0.00255
        484336.75000        4192535.50000              0.01781              0.00596
        479816.65625        4190013.50000              0.01128              0.02888
        480880.12500        4185791.50000              0.00400              0.02395
        477749.18750        4182767.00000              0.01211              0.05036
        479990.09375        4178203.75000              0.01753              0.01417
        477629.50000        4175051.25000              0.07628              0.01512
        479056.43750        4171283.50000              0.07886             -0.02115
        476995.56250        4168586.75000              0.13132             -0.00081
        477863.00000        4165377.25000              0.08979             -0.04506
        475575.65625        4163240.50000              0.10990              0.03169
        475860.96875        4160359.50000              0.06656             -0.00038
        473440.68750        4158328.25000              0.04154              0.17962
        473996.00000        4155501.75000             -0.03354              0.24791
        472110.21875        4153428.75000             -0.43079              0.72269
        473099.31250        4150984.75000             -0.48850              0.72623
        471893.81250        4149159.25000             -0.09785              0.59538
        472974.50000        4147292.00000             -0.30726              0.64716
        472029.31250        4145950.75000             -0.40393              0.74436
        472187.00000        4144478.25000             -0.27167              0.56414
        472978.65625        4143935.75000             -0.48565              0.74981
        472596.65625        4142668.75000             -0.29610              0.36009
        573558.00000        4408456.00000              0.07577             -0.02782
        571006.25000        4407277.50000              0.04021              0.04191
        570118.12500        4403677.00000              0.01274             -0.00263
        571623.75000        4401368.50000              0.00540              0.01842
        570318.12500        4397991.50000              0.00028              0.02888
        567295.75000        4397086.00000             -0.01838             -0.01198
        565718.31250        4393567.00000             -0.03146              0.00068
        567155.56250        4390920.50000             -0.02864             -0.00294
        565588.18750        4387169.50000             -0.01950              0.00220
        562399.00000        4386322.50000             -0.02169              0.00479
        560821.12500        4382804.00000             -0.00825              0.00177
        557277.37500        4382191.50000             -0.01228              0.00252
        555535.81250        4378234.00000             -0.00149             -0.00207
        551211.12500        4378642.50000              0.00704             -0.00640
        547578.50000        4375491.50000              0.00398              0.00257
        548816.00000        4370707.50000              0.00782              0.00524
        544457.62500        4367139.50000              0.00793              0.00646
        545681.93750        4362600.00000              0.00622              0.01083
        541139.81250        4358641.00000              0.01503              0.00817
        542851.12500        4354149.00000              0.01426              0.00319
        540704.18750        4349215.00000              0.01107             -0.00049
        536098.68750        4347597.50000              0.00917              0.00722
        536204.93750        4341197.50000              0.01278              0.00786
        532017.93750        4338777.50000              0.01155              0.00772
        532575.43750        4332783.50000              0.01241              0.01100
        528285.31250        4330158.00000              0.01114              0.01066
        529023.68750        4324422.00000              0.01620              0.01266
        524625.06250        4321507.00000              0.01751              0.00807
        525476.93750        4315991.50000              0.01469              0.00939
        520913.75000        4312800.00000              0.01557              0.00941
        521877.53125        4307654.50000              0.00387              0.00789
        517282.21875        4303953.00000              0.00989              0.00802
        519049.12500        4299342.50000              0.00759              0.00415
        517078.65625        4294829.50000              0.00546              0.01001
        512539.50000        4293191.00000              0.00800              0.00708
        512872.84375        4287119.00000              0.00417              0.00910
        508489.03125        4284550.00000              0.00273              0.00697
        509238.68750        4278808.00000              0.00291              0.00679
        504696.81250        4275909.00000              0.00246              0.00449
        505580.50000        4270444.00000              0.00786              0.00413
