Modularity£º 0.51
Total number of provinves: 5
x of grid center     y of grid center    province label
     155000             4275000                3          
     155000             4285000                3          
     155000             4295000                3          
     155000             4305000                3          
     155000             4315000                3          
     155000             4325000                3          
     155000             4335000                3          
     155000             4345000                1          
     165000             4195000                4          
     165000             4205000                4          
     165000             4215000                4          
     165000             4225000                4          
     165000             4235000                1          
     165000             4245000                1          
     165000             4255000                3          
     165000             4265000                3          
     165000             4275000                3          
     165000             4285000                3          
     165000             4295000                3          
     165000             4305000                3          
     165000             4315000                3          
     165000             4325000                3          
     165000             4335000                3          
     165000             4345000                1          
     165000             4355000                1          
     175000             4185000                4          
     175000             4195000                4          
     175000             4205000                4          
     175000             4215000                4          
     175000             4225000                4          
     175000             4235000                1          
     175000             4245000                1          
     175000             4255000                3          
     175000             4265000                3          
     175000             4275000                3          
     175000             4285000                3          
     175000             4295000                3          
     175000             4305000                3          
     175000             4315000                3          
     175000             4325000                3          
     175000             4335000                3          
     175000             4345000                3          
     175000             4355000                1          
     185000             4185000                4          
     185000             4195000                4          
     185000             4205000                4          
     185000             4215000                4          
     185000             4225000                4          
     185000             4235000                1          
     185000             4245000                1          
     185000             4255000                3          
     185000             4265000                3          
     185000             4275000                3          
     185000             4285000                3          
     185000             4295000                3          
     185000             4305000                3          
     185000             4315000                3          
     185000             4325000                3          
     185000             4335000                3          
     185000             4345000                3          
     185000             4355000                1          
     185000             4365000                1          
     185000             4375000                1          
     185000             4385000                1          
     185000             4395000                1          
     195000             4185000                4          
     195000             4195000                4          
     195000             4205000                4          
     195000             4215000                4          
     195000             4225000                1          
     195000             4235000                1          
     195000             4245000                3          
     195000             4255000                3          
     195000             4265000                3          
     195000             4275000                3          
     195000             4285000                3          
     195000             4295000                3          
     195000             4305000                3          
     195000             4315000                3          
     195000             4325000                3          
     195000             4335000                3          
     195000             4345000                3          
     195000             4355000                1          
     195000             4365000                1          
     195000             4375000                1          
     195000             4385000                1          
     195000             4395000                1          
     195000             4405000                1          
     205000             4185000                4          
     205000             4195000                4          
     205000             4205000                4          
     205000             4215000                1          
     205000             4225000                1          
     205000             4235000                1          
     205000             4245000                3          
     205000             4255000                3          
     205000             4265000                3          
     205000             4275000                3          
     205000             4285000                3          
     205000             4295000                3          
     205000             4305000                3          
     205000             4315000                3          
     205000             4325000                3          
     205000             4335000                3          
     205000             4345000                3          
     205000             4355000                1          
     205000             4365000                1          
     205000             4375000                1          
     205000             4385000                1          
     205000             4395000                1          
     205000             4405000                1          
     205000             4415000                1          
     205000             4425000                1          
     215000             4185000                4          
     215000             4195000                4          
     215000             4205000                1          
     215000             4215000                1          
     215000             4225000                1          
     215000             4235000                3          
     215000             4245000                3          
     215000             4255000                3          
     215000             4265000                3          
     215000             4275000                3          
     215000             4285000                3          
     215000             4295000                3          
     215000             4305000                3          
     215000             4315000                3          
     215000             4325000                3          
     215000             4335000                3          
     215000             4345000                3          
     215000             4355000                3          
     215000             4365000                1          
     215000             4375000                1          
     215000             4385000                1          
     215000             4395000                1          
     215000             4405000                1          
     215000             4415000                1          
     215000             4425000                1          
     225000             4185000                4          
     225000             4195000                1          
     225000             4205000                1          
     225000             4215000                1          
     225000             4225000                3          
     225000             4235000                3          
     225000             4245000                3          
