x of grid center     y of grid center out degree in degree
     35000              4275000         65        47 
     35000              4285000         65        49 
     35000              4295000         60        51 
     35000              4305000         4         57 
     35000              4315000         18        55 
     45000              4255000         31        46 
     45000              4265000         65        55 
     45000              4275000         64        57 
     45000              4285000         71        57 
     45000              4295000         65        58 
     45000              4305000         63        61 
     45000              4315000         26        80 
     55000              4255000         64        32 
     55000              4265000         65        63 
     55000              4275000         62        56 
     55000              4285000         66        56 
     55000              4295000         65        63 
     55000              4305000         66        74 
     55000              4315000         32        98 
     55000              4335000         39        90 
     55000              4345000         14        83 
     65000              4245000         64        66 
     65000              4255000         65        75 
     65000              4265000         72        75 
     65000              4275000         68        75 
     65000              4285000         64        74 
     65000              4295000         66        63 
     65000              4305000         64        111
     65000              4315000         43        89 
     65000              4325000         21        52 
     65000              4335000         39        64 
     65000              4345000         45        78 
     75000              4235000         67        18 
     75000              4245000         67        77 
     75000              4255000         68        67 
     75000              4265000         66        73 
     75000              4275000         61        72 
     75000              4285000         76        74 
     75000              4295000         67        67 
     75000              4305000         25        109
     75000              4315000         33        36 
     75000              4325000         8         7  
     75000              4335000         31        55 
     75000              4345000         37        75 
     85000              4235000         38        8  
     85000              4245000         83        78 
     85000              4255000         66        66 
     85000              4265000         65        64 
     85000              4275000         65        66 
     85000              4285000         69        67 
     85000              4295000         66        93 
     85000              4305000         40        96 
     85000              4315000         21        11 
     85000              4325000         33        62 
     85000              4335000         47        70 
     95000              4235000         112       23 
     95000              4245000         66        77 
     95000              4255000         64        59 
     95000              4265000         64        62 
     95000              4275000         63        85 
     95000              4285000         67        90 
     95000              4295000         22        96 
     95000              4305000         35        93 
     95000              4315000         38        98 
     95000              4325000         45        110
     105000             4235000         108       29 
     105000             4245000         93        163
     105000             4255000         5         152
     105000             4265000         7         86 
     105000             4275000         10        132
     105000             4285000         13        99 
     105000             4295000         16        96 
     105000             4305000         32        83 
     105000             4315000         27        108
     115000             4235000         74        4  
     115000             4245000         112       167
     115000             4255000         3         154
     115000             4265000         7         137
     115000             4275000         9         89 
     115000             4285000         34        128
     115000             4295000         129       155
     115000             4305000         106       167
     115000             4315000         115       173
     115000             4335000         85        54 
     125000             4235000         79        16 
     125000             4245000         149       123
     125000             4255000         116       157
     125000             4265000         77        160
     125000             4275000         59        171
     125000             4285000         102       188
     125000             4295000         63        199
     125000             4305000         82        217
     125000             4315000         92        219
     125000             4325000         96        164
     125000             4335000         52        54 
     135000             4235000         59        17 
     135000             4245000         92        39 
     135000             4255000         91        156
     135000             4265000         55        199
     135000             4275000         69        194
     135000             4285000         75        156
     135000             4295000         79        105
     135000             4305000         91        84 
     135000             4315000         108       105
     135000             4325000         130       220
     135000             4335000         104       162
     145000             4135000         5         19 
     145000             4145000         21        28 
     145000             4155000         22        28 
     145000             4165000         22        28 
     155000             4135000         24        21 
     155000             4145000         20        29 
     155000             4155000         16        30 
     155000             4165000         19        30 
     155000             4175000         23        29 
     165000             4125000         24        18 
     165000             4135000         24        27 
     165000             4145000         20        29 
     165000             4155000         5         30 
     165000             4165000         10        30 
     165000             4175000         64        29 
     175000             4115000         25        13 
     175000             4125000         25        19 
     175000             4135000         24        28 
     175000             4145000         15        29 
     175000             4155000         10        30 
     175000             4165000         20        30 
     175000             4175000         68        31 
     185000             4125000         32        13 
     185000             4135000         27        27 
     185000             4145000         21        27 
     185000             4155000         27        28 
     185000             4165000         64        41 
     185000             4175000         64        33 
     195000             4115000         5         12 
     195000             4125000         60        13 
     195000             4135000         65        17 
     195000             4145000         66        44 
     195000             4155000         66        43 
     195000             4165000         60        35 
     195000             4175000         45        41 
